"Brand","Model","Model.year","Price","Voltage","Power","Torque","Curb.weight","Battery.capacity","Top.speed","Acceleration.from.0.to.100.km.h","NEDC..New.European.Driving.Cycle.","EPA..Electric.car.range.and.efficiency.","WLTP..Worldwide.harmonized.Light.vehicles.Test.Procedure."
"Hyundai","KONA Electric",2019,"GBP 30,111 (UK, Jul 2019)EUR 34,600 (EU, Jul 2019)",327,100,395,1535,39.2,155,9.7,NA,NA,289
"Jaguar","I-Pace",2019,"USD 69,500 (USA, Jul 2019)GBP 64,495 (UK, Jul 2019)EUR 81,800 (NL, Jul 2019)EUR 79,990 (DE, Jul 2019)EUR 79,990 (FR, Jul 2019)EUR 80,400 (ES, Jul 2019)EUR 82,460 (IT, Jul 2019)",388,294,696,2140,90,200,4.8,NA,NA,NA
"KIA","e-Niro",2020,"GBP 37,995 (UK, Dec 2019)",356,150,395,1812,64,167,7.8,NA,NA,NA
"KIA","Soul EV",2020,"EUR 33,990 (DE, Jul 2019)EUR 37,300 (FR, Jul 2019)EUR 36,675 (ES, Jul 2019)",327,100,395,1593,39.2,156,9.6,NA,NA,277
"KIA","Soul EV",2020,"EUR 37,790 (DE, Jul 2019)EUR 42,995 (NL, Jul 2019)EUR 41,300 (ES, Jul 2019)EUR 42,725 (ES, Jul 2019)",356,150,395,1682,64,167,7.6,NA,391.1,452
"KIA","Soul EV",2019,NA,360,81,285,1506,31.8,145,11.5,NA,178.6,250
"KIA","e-Niro",2019,"EUR 35,290 (DE, Jul 2019)EUR 38,500 (FR, Jul 2019)EUR 35,635 (ES, Jul 2019)",327,100,395,1667,39.2,155,9.8,NA,NA,289
"KIA","e-Niro",2019,"USD 38,500 (USA, Jul 2019)GBP 36,495 (UK, Jul 2019)EUR 42,510 (NL, Jul 2019)EUR 39,090 (DE, Jul 2019)EUR 44,500 (FR, Jul 2019)EUR 40,485 (ES, Jul 2019)",356,150,395,1748,64,167,7.8,NA,384.6,455
"KIA","Soul EV",2018,NA,360,81,285,1506,31.8,145,11.5,250,178.6,NA
"KIA","Soul EV",2017,NA,360,81,285,1492,30.5,145,11.5,212,150,NA
"KIA","Soul EV",2016,NA,360,81,285,1492,30.5,145,11.5,212,150,NA
"KIA","Soul EV",2015,NA,360,81,285,1492,30.5,145,11.5,212,150,NA
"Mazda","MX-30",2021,"EUR 33,990 (EU, Oct 2019)GBP 30,495 (UK, Mar 2020)",355,NA,NA,NA,35.5,NA,NA,NA,NA,NA
