"Brand","Model","Model.year","Price","Voltage","Power","Torque","Curb.weight","Battery.capacity","Top.speed","Acceleration.from.0.to.100.km.h","NEDC..New.European.Driving.Cycle.","EPA..Electric.car.range.and.efficiency.","WLTP..Worldwide.harmonized.Light.vehicles.Test.Procedure."
"Tesla","Roadster 3.0",2016,NA,NA,215,400,1237,80,201,NA,NA,482,NA
"Tesla","Model S",2016,NA,375,568,930,2241,100,250,2.4,613,506.9,NA
"Tesla","Model S",2016,NA,320,386,660,2027,75,225,4.4,490,416.8,NA
"Tesla","Model S",2016,NA,320,285,440,2027,75,225,4.5,480,400.7,NA
"Tesla","Model S",2016,NA,320,386,660,2027,75,209,5.5,NA,350.8,NA
"Tesla","Model S",2016,NA,320,285,440,2027,60,209,5.7,375,338,NA
"Tesla","Model S",2016,NA,375,568,930,2251,90,250,3,509,434.5,NA
"Tesla","Model S",2016,NA,375,568,930,2251,90,250,3.3,509,434.5,NA
"Tesla","Model S",2016,NA,375,386,660,2199,90,250,4,528,473,NA
"Tesla","Model S",2016,NA,320,386,660,2141,70,225,5.4,442,386.2,NA
"Tesla","Model S",2016,NA,320,285,440,2066,70,225,5.8,420,370,NA
"Tesla","Model X",2016,NA,320,568,990,2487,100,250,3.1,542,465,NA
"Tesla","Model X",2016,NA,320,568,990,2439,90,250,3.4,450,402,NA
"Tesla","Model X",2016,NA,320,386,660,2389,90,209,5,489,414,NA
"Tesla","Model X",2016,NA,320,386,660,2352,75,209,6.2,417,383,NA
"Tesla","Model X",2016,NA,300,386,660,2352,70,225,6.2,NA,354,NA
"Tesla","Model X",2016,NA,300,386,660,2352,60,209,6.2,355,322,NA
"Tesla","Model S",2015,NA,375,568,930,2251,90,250,3,480,407,NA
"Tesla","Model S",2015,NA,375,568,930,2251,90,250,3.3,480,407,NA
"Tesla","Model S",2015,NA,375,386,660,2199,90,250,4,NA,460,NA
"Tesla","Model S",2015,NA,375,285,440,2100,90,250,4,NA,426.5,NA
"Tesla","Model S",2015,NA,375,568,930,2251,85,250,3,480,407,NA
"Tesla","Model S",2015,NA,375,568,930,2251,85,250,3.3,480,407,NA
"Tesla","Model S",2015,NA,375,386,660,2199,85,250,4,528,434.5,NA
"Tesla","Model S",2015,NA,320,285,440,2066,70,225,5.5,420,370,NA
"Tesla","Model S",2015,NA,320,280,500,2141,70,225,5.6,442,386.2,NA
"Tesla","Model S",2015,NA,375,515,600,2251,85,250,3.5,480,407,NA
"Tesla","Model S",2015,NA,320,386,660,2141,70,225,5.4,442,386.2,NA
"Tesla","Model S",2015,NA,375,280,880,2199,85,230,5.4,528,434.5,NA
"Tesla","Model S",2015,NA,375,285,440,2100,85,230,5.7,502,426.5,NA
"Tesla","Model S",2015,NA,375,225,430,1999,60,193,6.8,375,334.7,NA
"Tesla","Model S",2014,NA,375,310,600,2108,85,209,4.4,NA,437,NA
"Tesla","Model S",2014,NA,375,515,600,2251,85,250,3.5,480,407,NA
"Tesla","Model S",2014,NA,375,310,600,2108,85,209,4.4,502,426.5,NA
"Tesla","Model S",2014,NA,375,270,440,2100,85,201,5.7,502,426.5,NA
"Tesla","Model S",2014,NA,375,225,430,1999,60,193,6.8,375,334.7,NA
"Tesla","Model S",2013,NA,375,310,600,2108,85,209,4.4,NA,437,NA
"Tesla","Model S",2013,NA,375,310,600,2108,85,209,4.4,502,426.5,NA
"Tesla","Model S",2013,NA,375,310,600,2108,85,209,4.4,502,426.5,NA
"Tesla","Model S",2013,NA,375,270,440,2100,85,201,5.7,502,426.5,NA
"Tesla","Model S",2013,NA,375,270,440,2100,85,201,5.7,502,426.5,NA
"Tesla","Model S",2013,NA,375,225,430,1999,60,193,6.8,375,334.7,NA
"Tesla","Model S",2013,NA,375,225,430,1999,40,177,6.8,NA,223.7,NA
"Tesla","Model S",2012,NA,375,270,440,2100,85,201,5.7,502,426.5,NA
"Tesla","Roadster 2.5",2010,NA,375,215,400,1237,53,201,NA,NA,392.7,NA
"Tesla","Roadster Sport 2.0",2009,NA,375,215,400,1237,53,201,NA,NA,392.7,NA
"Tesla","Roadster 2.0",2009,NA,375,215,380,1237,53,201,NA,NA,392.7,NA
"Tesla","Roadster 1.5",2008,NA,375,185,370,1305,53,201,NA,NA,372,NA
"Volkswagen","e-Golf",2020,"USD 31,895 (USA, Jul 2019)GBP 33,840 (UK, Jul 2019)EUR 41,005 (NL, Jul 2019)EUR 31,900 (DE, Jul 2019)EUR 42,090 (FR, Jul 2019)EUR 39,460 (ES, Jul 2019)EUR 40,750 (IT, Jul 2019)",323,100,290,1615,35.8,150,9.6,NA,NA,NA
"Volkswagen","ID.3",2020,"EUR 29,990 (DE, Sep 2019)",NA,93,310,NA,45,160,NA,NA,NA,330
"Volkswagen","ID.3",2020,NA,408,150,310,NA,77,160,NA,NA,NA,550
"Volkswagen","ID.3",2020,NA,NA,107,310,1650,58,160,NA,NA,NA,420
"Volkswagen","ID.3 1st",2020,NA,NA,150,310,1650,58,160,NA,NA,NA,420
"Volkswagen","ID.3 1st",2020,NA,NA,150,310,1650,58,160,NA,NA,NA,420
"Volkswagen","ID.3 1st",2020,"EUR 39,990 (DE, Sep 2019)",NA,150,310,1650,58,160,NA,NA,NA,420
"Volkswagen","e-up!",2020,"EUR 21,975 (DE, Sep 2019)",NA,61,210,1229,36.8,130,11.9,NA,NA,260
"Volkswagen","e-Golf",2019,"USD 38,895 (USA, Jul 2019)",323,100,290,1615,35.8,150,9.6,NA,NA,NA
"Volkswagen","e-up!",2019,"EUR 23,570 (DE, Jul 2019)",374,60,210,1229,18.7,130,12.4,NA,NA,NA
"Volkswagen","e-Golf",2019,"USD 38,895 (USA, Jul 2019)",323,100,290,1615,35.8,150,9.6,300,201.2,NA
"Volkswagen","e-Golf",2019,"USD 31,895 (USA, Jul 2019)GBP 33,840 (UK, Jul 2019)EUR 41,005 (NL, Jul 2019)EUR 35,900 (DE, Jul 2019)EUR 42,090 (FR, Jul 2019)EUR 39,460 (ES, Jul 2019)EUR 40,750 (IT, Jul 2019)",323,100,290,1615,35.8,150,9.6,300,201.2,NA
"Volkswagen","e-Golf",2017,"USD 37,345 (USA, Jul 2019)",323,100,290,1615,35.8,150,9.6,300,201.2,NA
"Volkswagen","e-Golf",2017,NA,323,100,290,1615,35.8,150,9.6,300,201.2,NA
"Volkswagen","e-Golf",2017,"USD 30,495 (USA, Jul 2019)",323,100,290,1615,35.8,150,9.6,300,201.2,NA
"Volkswagen","e-up!",2016,NA,374,60,210,1139,18.7,130,12.4,NA,NA,NA
"Volkswagen","e-Golf",2016,NA,323,85,270,1538,24.2,140,10.4,NA,133.6,NA
"Volkswagen","e-Golf",2016,NA,323,85,270,1538,24.2,140,10.4,NA,133.6,NA
"Volkswagen","e-Golf",2015,NA,323,85,270,1538,24.2,140,10.4,NA,133.6,NA
"Volkswagen","e-Golf",2015,NA,323,85,270,1538,24.2,140,10.4,NA,133.6,NA
"Volkswagen","e-Golf",2014,NA,323,85,270,1510,24.2,140,10.4,NA,NA,NA
"Volvo","XC40 Recharge",2021,"EUR 62,000 (DE, Mar 2020)",NA,300,660,NA,78,180,4.9,NA,NA,400
